player_id,player_name,short_name,line,primary_position,secondary_positions,age,club,league,minutes_recent,goals_recent,assists_recent,clean_sheets_recent,duels_won_pct,pass_success_pct,avg_rating,recent_form,league_level,playing_time_score,international_experience,tactical_fit,versatility,potential,data_status,source_name,injury_status,strong_points,weak_points,role_projection
mf_bouaddi,Ayyoub Bouaddi,A. Bouaddi,Midfielders,CM,DM|AM,18,Lille,Ligue 1,980,1,2,0,55,88,6.9,75,86,64,12,76,74,92,estimated,seed_estimated,To verify,Elite potential and calm passing,Youth and physical duels,Future midfield wildcard
mf_ounahi,Azzedine Ounahi,A. Ounahi,Midfielders,CM,AM|DM,26,To verify,To verify,1320,3,4,0,53,89,7.0,78,78,78,90,84,80,81,manual,seed_manual,To verify,Ball carrying and press escape,Defensive duel volume,Creative number eight
mf_el_khannouss,Bilal El Khannouss,B. El Khannouss,Midfielders,AM,CM|LW,22,Leicester City,Premier League,1420,4,5,0,49,86,7.2,82,90,82,52,88,76,90,manual,seed_manual,To verify,Chance creation and between-line intelligence,Defensive intensity consistency,Primary creative midfielder
mf_el_mourabet,Sofian El Mourabet,S. El Mourabet,Midfielders,DM,CM,21,To verify,To verify,860,0,1,0,58,82,6.6,64,55,58,10,62,44,74,estimated,seed_estimated,To verify,Screening instincts and simple distribution,Sample size and elite experience,Developmental holding midfielder
mf_saibari,Ismael Saibari,I. Saibari,Midfielders,AM,CM|RW,25,PSV,Eredivisie,1480,7,5,0,56,84,7.3,84,80,84,55,86,82,86,manual,seed_manual,To verify,Powerful carries and final third runs,Defensive role clarity,Hybrid attacking midfielder
mf_amrabat,Sofyan Amrabat,S. Amrabat,Midfielders,DM,CM,29,To verify,To verify,1360,0,1,0,62,88,6.9,76,82,78,94,88,55,76,manual,seed_manual,To verify,Ball retention and tournament experience,Progressive threat,Defensive midfield anchor
fw_gessime,Yan Gessime,Y. Gessime,Forwards,RW,LW|ST,23,Dunkerque,Ligue 2,1210,5,4,0,47,78,6.9,72,64,76,18,72,76,80,estimated,seed_estimated,To verify,Direct running and pressing,Top-level proof,Wide forward depth
fw_talbi,Chemsdine Talbi,C. Talbi,Forwards,RW,LW|AM,21,Club Brugge,Belgian Pro League,1340,6,5,0,45,81,7.0,78,76,80,20,78,80,88,estimated,seed_estimated,To verify,One-v-one quality and acceleration,Decision making consistency,High-upside winger
fw_diaz,Brahim Diaz,B. Diaz,Forwards,AM,RW|LW|CF,26,Real Madrid,La Liga,1380,8,6,0,48,90,7.4,88,96,78,64,94,90,91,manual,seed_manual,To verify,Elite technique and creative final ball,Can be crowded centrally,Star attacking connector
fw_ezzalzouli,Abde Ezzalzouli,A. Ezzalzouli,Forwards,LW,RW|ST,24,Real Betis,La Liga,1320,6,4,0,50,80,7.0,80,90,78,70,84,82,84,manual,seed_manual,To verify,Explosive dribbling and transition threat,End product variance,Starting winger candidate
fw_amaimouni,Amine Amaimouni,A. Amaimouni,Forwards,LW,RW|AM,21,To verify,To verify,760,4,3,0,44,76,6.7,66,54,55,8,64,70,75,estimated,seed_estimated,To verify,Agility and creative flashes,Data confidence and experience,Reserve attacking prospect
fw_rahimi,Soufiane Rahimi,S. Rahimi,Forwards,LW,ST|RW,30,Al Ain,UAE Pro League,1640,12,7,0,52,79,7.5,86,72,88,62,82,78,80,manual,seed_manual,To verify,Movement scoring instinct and big-game edge,League translation question,Impact forward or second striker
fw_el_kaabi,Ayoub El Kaabi,A. El Kaabi,Forwards,ST,CF,32,Olympiacos,Super League Greece,1680,15,3,0,55,76,7.4,87,76,90,82,86,45,78,manual,seed_manual,To verify,Penalty-box finishing and aerial threat,Link play under pressure,Starting striker candidate
res_al_harrar,Mehdi Al Harrar,M. Al Harrar,Reserves,GK,GK,24,Raja CA,Botola Pro,900,0,0,4,0,65,6.6,62,56,60,12,58,30,68,estimated,seed_estimated,To verify,Shot stopping potential,International readiness,Reserve goalkeeper
res_sbai,Abdellah Sbai,A. Sbai,Reserves,LB,LWB|CB,24,To verify,To verify,820,1,2,3,54,77,6.5,61,52,58,8,60,56,66,estimated,seed_estimated,To verify,Left-side coverage,Data confidence,Reserve defender
res_saadane,Marouane Saadane,M. Saadane,Reserves,DM,CB|CM,34,FUS Rabat,Botola Pro,1120,1,1,0,60,80,6.7,64,56,68,28,62,50,60,estimated,seed_estimated,To verify,Experience and positional discipline,Age and pace coverage,Emergency defensive midfielder
